,Dates,Score,Change in SPY,predicted_change,true_change
480,11/29/21,0.230537,-10.47000122,1.5065025,-95.64314396524323
481,11/30/21,1.9798,5.630004883,1.503615,48.59157463534894
482,12/1/21,0.875511,-9.040008545,1.5043888,-82.83230465499597
483,12/2/21,2.679023457,-5.059997559,1.5021894,-47.17668061855487
484,12/3/21,2.768522,6.899993896,1.4938363,59.96899317444915
485,12/6/21,0.966464,-3.979980469,1.4983625,-37.50115875456291
486,12/7/21,2.667153,5.369995117,1.4967027,46.26223170265106
487,12/8/21,3.127224,9.489990234,1.5060791,83.17192804280212
488,12/9/21,1.788601,1.239990234,1.504538,9.262861124302116
489,12/10/21,1.178085,-3.16998291,1.5072589,-30.24465405250804
490,12/13/21,0.987524,4.389984131,1.5115527,37.482632000209954
491,12/14/21,2.7689,-4.16998291,1.5191704,-39.203328830508035
492,12/15/21,1.96733461,-3.210021973,1.5190508,-30.603350996340893
493,12/16/21,1.561365,7.240020752,1.5227499,63.01518319313899
494,12/17/21,2.08366792,-4.149993896,1.5190823,-39.02425375494914
495,12/20/21,0.4311,-6.58001709,1.5152737,-60.794041252991946
496,12/21/21,1.72312,-4.889984131,1.51808,-45.65358560920994
497,12/22/21,2.813833,8.079986572,1.513616,70.54016379915507
498,12/23/21,2.414397789,4.630004883,1.5076754,39.63289985734894
499,12/27/21,0.05005,2.910003662,1.5077451,24.223968300647034
500,12/28/21,0.42074,6.660003662,1.5101376,57.81899871814703
501,12/29/21,1.463075,-0.390014648,1.5122887,-5.339822500088148
502,12/30/21,1.468983,0.610015869,1.5065736,3.619125669790052
503,12/31/21,1.6232,-1.320007324,1.503606,-13.671324430294074
504,1/3/22,-0.04094121,-1.200012207,1.5020387,-12.596327202143016
505,1/4/22,2.0127272,2.75,1.4980943,22.790547529499996
506,1/5/22,1.511343,-0.160003662,1.5003805,-3.279228881147037
507,1/6/22,0.5611234,-9.16998291,1.4975758,-83.99670272050803
508,1/7/22,1.30136789,-0.440002441,1.4908743,-5.787646880445133
509,1/10/22,0.65,-1.850006104,1.4862925,-18.41941113305084
510,1/11/22,2.391262789,-0.579986572,1.490921,-7.041719184155081
511,1/12/22,-0.12156911,4.239990234,1.4938558,36.13888545830212
512,1/13/22,3.4434282,1.269989014,1.4924734,9.53161043805889
513,1/14/22,2.384260247,-6.489990234,1.4916531,-59.987519928802115
514,1/18/22,0.31720211,0.190002441,1.4914463,-0.1436380340548671
515,1/19/22,2.81715,-8.230010986,1.4983132,-75.5757999529411
516,1/20/22,2.421683,-4.739990234,1.4975531,-44.309839067302114
517,1/21/22,2.365496568,-5.0,1.4996439,-46.63918199999999
518,1/24/22,0.198445,-8.769989014,1.5060769,-80.41328749305887
519,1/25/22,2.4445684,1.859985352,1.5093372,14.81719575041185
520,1/26/22,3.24722789,-5.369995117,1.5146017,-49.95384792265105
521,1/27/22,2.541386,-1.089996338,1.5130929,-11.610730811352962
522,1/28/22,3.521954457,-2.140014648,1.5217346,-21.017503361588147
523,1/31/22,-0.0773,10.71002197,1.5173169,94.10179558446487
524,2/1/22,1.339329457,7.959991455,1.5176691,69.465166571004
525,2/2/22,3.5303392,3.040008545,1.5252551,25.388639766995976
526,2/3/22,4.073103,4.399993896,1.5224404,37.572306229449154
527,2/4/22,3.205901,-10.75,1.5219067,-98.15156197349998
528,2/7/22,0.4301,2.100006104,1.5228591,16.967463607550844
529,2/8/22,1.8335,-1.440002441,1.5323751,-14.746321658445133
530,2/9/22,0.624049456,3.679992676,1.5323623,31.122049459705924
