,Data,Positive Score,Negative Score,Neutral Score,Change in SPY,predicted_change,true_change
405,8/11/21,6.074680805,20.6813339,48.5925467,1.100006104,0.7786304,-15.80999756
406,8/12/21,10.98400307,20.92657954,35.8909514,1.329986572,0.22616956,-1.0
407,8/13/21,9.214705855,14.76120642,53.30413467,0.810028076,0.20524216,0.840026855
408,8/16/21,0.947584152,8.393334627,21.6345095,1.049987793,0.17753452,-3.070007324
409,8/17/21,5.726511508,10.88547319,33.47002888,-2.929992676,0.29852718,-4.739990234
410,8/18/21,8.195867479,19.72785258,36.0591782,-4.860015869,0.1922732,7.290008545
411,8/19/21,7.876693696,18.74310362,41.41797936,0.679992676,0.19526935,0.709991455
412,8/20/21,4.651775301,22.62698972,47.65135854,3.5,0.14479786,-1.489990234
413,8/23/21,1.250837862,8.002438843,24.23010728,3.900024414,0.20715111,-9.540008545
414,8/24/21,4.825142264,14.11221704,36.87923521,0.709991455,1.074021,7.110015869
415,8/25/21,4.814374,17.10496515,39.82910025,0.940002441,0.1690912,9.449981689
416,8/26/21,6.300210565,18.61038655,42.05462164,-2.649993896,0.19922486,-7.869995117
417,8/27/21,4.329923034,17.75704679,53.0310739,3.989990234,0.15348087,3.559997559
418,8/30/21,1.859026849,11.50372064,18.46114674,1.980010986,0.692556,-1.320007324
419,8/31/21,6.46810329,15.14942378,28.54163927,-0.670013428,0.16973305,2.480010986
420,9/1/21,7.43644008,24.72304219,34.449083,0.239990234,0.20268738,-1.200012207
421,9/2/21,5.659646213,19.43637425,43.59343219,1.390014648,0.24904484,0.610015869
422,9/3/21,2.39099288,23.81350386,44.58081865,-0.110015869,0.3769598,4.020019531
423,9/7/21,4.636150181,12.85724729,30.76758724,-1.619995117,0.20292243,11.16000366
424,9/8/21,5.883192867,10.75099617,46.74022084,-0.549987793,0.38364753,1.799987793
425,9/9/21,6.965831816,18.87711197,50.60183534,-1.929992676,0.26015273,-0.110015869
426,9/10/21,8.824674517,16.16445249,55.28919587,-3.540008545,0.16447881,6.089996338
427,9/13/21,2.306937337,10.94989449,18.775426,1.139984131,0.1929701,-1.179992676
428,9/14/21,5.881697834,14.08160973,45.0799633,-2.409973145,0.23824814,-2.33001709
429,9/15/21,7.052231848,25.02902591,35.95353577,3.709991455,0.26552424,5.339996338
430,9/16/21,7.683213651,21.52976319,51.42013693,-0.709991455,0.56897587,-1.139984131
431,9/17/21,6.529616714,19.8486574,48.87659788,-5.770019531,0.40306175,-0.33001709
432,9/20/21,3.231056929,4.668886065,27.06335318,-7.359985352,0.6188236,3.489990234
433,9/21/21,3.892617345,15.29446891,36.95935002,-0.410003662,0.3654971,0.730010986
434,9/22/21,3.548051953,20.74353641,49.99582741,4.229980469,0.3945066,-11.64001465
435,9/23/21,8.860195607,17.97232911,50.208736,5.320007324,0.43114743,-0.410003662
436,9/24/21,5.018193722,17.6049571,52.32580957,0.730010986,1.3709308,-2.039978027
437,9/27/21,3.24977237,8.203653753,16.78633112,-1.269989014,0.19850382,-2.630004883
438,9/28/21,7.206727684,20.01856154,38.58820158,-8.920013428,0.9372575,2.779998779
439,9/29/21,9.328144252,19.69046995,36.0570749,0.730010986,0.20686671,11.36001587
440,9/30/21,4.779335618,16.29954243,35.86261186,-5.309997559,0.34441516,-10.75
441,10/1/21,2.360105038,30.5181728,48.60567209,5.099975586,0.49029067,9.170013428
442,10/4/21,0.908117592,13.83428562,17.50742352,-5.599975586,0.45378506,-3.339996338
443,10/5/21,6.390409201,9.748641849,41.15764391,4.459991455,0.67379665,-5.769989014
444,10/6/21,7.661751807,14.61672086,33.21586335,1.799987793,0.59030294,1.239990234
445,10/7/21,4.151061654,21.28332099,47.49074957,3.760009766,0.2944553,9.039978027
446,10/8/21,7.416389227,13.9007718,42.47711772,-0.800018311,0.3753409,-3.979980469
447,10/11/21,1.105913281,12.87600151,23.00433218,-3.16998291,0.26957574,6.690002441
448,10/12/21,4.456684828,9.507918924,40.10252509,-1.070007324,0.24792847,-0.390014648
449,10/13/21,5.79286617,21.22231141,53.83674791,1.559997559,0.23454383,-2.649993896
450,10/14/21,8.008973569,13.47282392,45.10539317,7.320007324,0.26741531,1.899993896
451,10/15/21,12.30188024,25.85340276,53.24706906,3.369995117,0.27545696,4.380004883
452,10/19/21,2.347492039,7.993097186,19.88507035,1.320007324,0.26506883,1.179992676
453,10/20/21,14.8124488,25.72212216,42.0532645,3.450012207,0.53566563,-3.050018311
454,10/21/21,8.93821156,21.20699435,41.88143778,1.769989014,0.18147586,-3.210021973
455,10/22/21,8.99184382,28.99316707,60.73914933,1.179992676,0.33800882,-5.059997559
456,10/25/21,3.77163744,11.02604839,26.17070603,-0.470001221,0.28017923,5.630004883
457,10/26/21,8.131609619,16.19932353,37.26584926,2.429992676,0.23186657,-1.850006104
458,10/27/21,11.52240598,18.66987759,40.71278262,0.410003662,0.5026008,10.31997681
459,10/28/21,8.810322285,19.36790437,43.12269962,-2.019989014,0.62480223,3.989990234
460,10/29/21,11.74564984,29.26116088,50.48925745,4.380004883,0.24757746,-0.679992676
461,11/1/21,3.967349648,9.972586393,21.8134197,0.929992676,0.17230353,1.529998779
