Data,Positive Score,Negative Score,Neutral Score,Change in SPY
11/13/20,9.765121996,22.21502864,49.05219406,4.890014648
11/16/20,5.014507562,10.40947193,39.11261719,4.470001221
11/17/20,10.29865247,18.22144312,44.90197045,-1.950012207
11/18/20,12.5477646,19.68853241,44.56054702,-4.339996338
11/19/20,9.557012975,22.98682374,47.0244844,1.5
11/20/20,4.916214645,22.94964886,49.75898138,-2.450012207
11/23/20,0.878836989,8.226105958,30.64219245,2.130004883
11/24/20,4.816340327,17.98606595,46.60199147,5.760009766
11/25/20,10.0773406,20.59920719,40.77018276,-0.559997559
11/27/20,7.519900024,11.80857956,19.44971752,1.010009766
11/30/20,3.537802696,14.98756403,17.8703686,-1.610015869
12/1/20,5.121533453,21.65181389,37.45391449,3.959991455
12/2/20,7.349322915,15.46060479,45.84944153,0.770019531
12/3/20,10.65358573,20.00882012,48.35073015,-0.100006104
12/4/20,15.88574138,23.40793282,47.98180252,3.160003662
12/7/20,4.353903472,10.08048224,20.08188939,-0.760009766
12/8/20,6.792358756,19.93612999,38.70196414,1.08001709
12/9/20,10.08264977,17.71702451,62.2764225,-3.320007324
12/10/20,9.986154616,17.75431439,60.23693103,-0.119995117
12/11/20,13.03159872,21.7421667,68.46861812,-0.430023193
12/14/20,2.448050022,16.7403259,30.25236097,-1.639984131
12/15/20,6.578648329,10.91987792,42.87643528,4.929992676
12/16/20,8.633238614,17.1542713,55.24124271,0.58001709
12/17/20,8.689049602,27.17676124,51.07234433,2.069976807
12/18/20,10.4382903,14.63680148,51.51301467,-3.059997559
12/21/20,3.445008397,10.92562824,21.29801142,-1.320007324
12/22/20,6.960127056,17.47326362,42.60936871,-0.619995117
12/23/20,8.832817167,16.49551916,52.39168864,0.33001709
12/24/20,6.221535385,14.70880675,40.40404958,1.429992676
12/28/20,2.333112299,10.14445016,22.87683225,3.170013428
12/29/20,2.470793396,16.95783266,30.4945842,-0.710021973
12/30/20,10.11238331,10.61869472,40.21801183,0.529998779
12/31/20,9.689175755,10.34435728,39.19469017,1.890014648
1/4/21,2.551706612,3.389895618,23.92724636,-5.089996338
1/5/21,9.381052315,14.17774403,35.78992683,2.539978027
1/6/21,6.178922981,15.34759924,44.30337268,2.220001221
1/7/21,10.17151597,18.03892484,48.91678178,5.550018311
1/8/21,9.533495396,17.32194048,44.7438359,2.160003662
1/11/21,2.837272048,9.987280756,24.01188022,-2.570007324
1/12/21,6.993449807,20.73269653,50.19027802,0.079986572
1/13/21,10.4315992,24.45120123,44.14909202,1.020019531
1/14/21,11.29043373,20.76547822,57.51210642,-1.33001709
1/15/21,9.992582679,23.23684168,57.41620696,-2.759979248
1/19/21,6.425310582,8.955208868,30.65668759,2.949981689
1/20/21,4.686557829,16.83404854,47.89975145,5.240020752
1/21/21,10.53467,11.8441042,42.39312142,0.349975586
1/22/21,8.582699358,15.72353539,54.78530979,-1.359985352
1/25/21,2.196552932,8.161685348,23.55457795,1.510009766
1/26/21,5.067212582,14.89751995,43.94839343,-0.600006104
1/27/21,16.77525979,19.34671998,48.68273154,-9.380004883
1/28/21,5.735714763,17.78030992,42.28515854,3.220001221
1/29/21,15.66274494,26.28799695,63.21238071,-7.559997559
2/1/21,3.477995276,9.44998607,25.59397131,6.160003662
2/2/21,11.11661473,10.20809841,41.70607716,5.319976807
2/3/21,10.77779102,21.53982109,39.10419902,0.300018311
2/4/21,16.49239698,20.24453071,60.28774315,4.339996338
2/5/21,16.3145915,29.37068889,48.38832939,1.519989014
2/8/21,2.894274771,10.02689132,24.17357063,2.800018311
2/9/21,12.2839132,22.43852443,37.88931361,-0.260009766
2/10/21,11.36076117,17.39461684,49.20903128,-0.170013428
2/11/21,8.440467596,24.25762364,54.56107879,0.630004883
2/12/21,11.90610504,15.83305648,55.50546941,1.930023193
2/16/21,3.36297673,7.820515394,23.92991024,-0.340026855
2/17/21,7.83411324,21.40812582,38.2103723,0.090026855
2/18/21,4.902145088,22.31810009,52.68082744,-1.670013428
2/19/21,5.647738278,21.34459957,59.03105098,-0.690002441
2/22/21,3.145571291,6.834740818,17.7468428,-3
2/23/21,6.059900045,18.86288184,42.66193992,0.470001221
2/24/21,7.997168094,24.78806809,37.98954225,4.269989014
2/25/21,12.01012731,28.36940643,52.93364128,-9.440002441
2/26/21,16.23347864,21.80480605,61.55077142,-1.970001221
3/1/21,3.723915488,7.338986754,24.79119971,9.220001221
3/2/21,6.081843853,22.3905375,42.8747243,-3.039978027
3/3/21,7.941801369,17.37476578,44.8625769,-5.119995117
3/4/21,10.01001006,25.37394723,53.93685311,-4.720001221
3/5/21,11.04325768,22.26750475,53.58605677,6.929992676
3/8/21,4.129233718,9.143716931,31.69053885,-1.910003662
3/9/21,6.917140007,16.61281952,39.32543352,5.450012207
3/10/21,8.700123966,14.92408869,51.6689142,2.409973145
3/11/21,11.94464844,20.08204168,61.07282007,3.950012207
3/12/21,12.14752489,17.39465863,55.24302915,0.529998779
3/15/21,3.688666165,8.921976626,21.10613018,2.350006104
3/16/21,8.409908593,18.88832948,38.66342729,-0.5
3/17/21,8.492330372,18.61619991,49.41510484,1.350006104
3/18/21,10.65604126,23.7174173,53.25033951,-5.779998779
3/19/21,6.326781034,17.68314454,58.25482994,-2
3/22/21,3.148581713,6.885235369,26.72859281,3.109985352
3/23/21,3.473403692,16.2051447,46.4957974,-3.089996338
3/24/21,8.545256138,20.35059044,48.55540961,-1.980010986
3/25/21,9.815129071,23.45462143,52.11465329,2.180023193
3/26/21,8.461776972,17.72789747,50.1790047,6.279998779
3/29/21,5.207528472,9.696703613,21.89707267,-0.200012207
3/30/21,4.234864473,14.03897592,35.51978323,-1.049987793
3/31/21,15.10875896,19.09223777,44.77081439,1.599975586
4/1/21,9.15225181,20.03864288,41.77094325,4.279998779
4/5/21,2.965976536,10.24694252,29.65101925,5.75
4/6/21,3.098032832,13.52627444,43.8867884,-0.239990234
4/7/21,7.934823662,18.55141515,45.82801384,0.470001221
4/8/21,14.36060226,14.07085896,55.53635114,1.929992676
4/9/21,11.52619421,17.72380656,62.50765929,2.970001221
4/12/21,3.067069232,7.967064977,23.00288865,0.150024414
4/13/21,8.66261059,11.43793273,45.12525079,1.219970703
4/14/21,3.311893582,19.89732438,52.55252796,-1.409973145
4/15/21,12.19796503,16.25447139,54.52913171,4.41998291
4/16/21,11.35684264,21.15550917,53.98069921,1.390014648
4/19/21,3.639738172,8.566482425,22.15700385,-2.050018311
4/20/21,8.439849347,15.17562765,45.24878031,-3.039978027
4/21/21,12.16655171,15.25607371,51.80689088,3.899993896
4/22/21,7.659294248,19.37233782,40.7177099,-3.800018311
4/23/21,8.224219263,22.1669299,40.58977413,4.470001221
4/26/21,2.119117916,8.2155357,21.89933491,0.869995117
4/27/21,3.031292498,14.58137989,38.94598877,-0.089996338
4/28/21,14.6578396,18.04973039,44.53921264,-0.119995117
4/29/21,10.36255777,16.58635938,54.03835499,2.660003662
4/30/21,14.76910153,15.13755006,53.50653431,-2.760009766
5/3/21,3.320560277,12.85450161,16.17846671,0.900024414
5/4/21,2.871418744,17.05211109,46.80335531,-2.58001709
5/5/21,8.638094306,11.51155421,50.01454598,0.130004883
5/6/21,8.917279303,23.96891272,47.21156561,3.320007324
5/7/21,8.698619902,16.62224466,49.72642434,3.049987793
5/10/21,2.771149337,12.00068745,27.43537116,-4.179992676
5/11/21,7.813796252,14.45112368,35.78923413,-3.730010986
5/12/21,6.011712313,19.32936782,41.70208967,-8.799987793
5/13/21,10.06944141,30.45328653,42.43132803,4.869995117
5/14/21,10.38858533,13.89977515,50.92590719,6.299987793
5/17/21,1.753709435,5.656546175,22.19050366,-1.059997559
5/18/21,3.721773386,9.167887151,52.94988668,-3.579986572
5/19/21,7.398705006,13.97116199,45.32894963,-1.08001709
5/20/21,2.205741346,13.92409855,41.22635379,4.420013428
5/21/21,4.964002192,23.44316813,57.05974793,-0.339996338
5/24/21,3.422917128,12.51263165,21.69352937,4.230010986
5/25/21,3.372793436,7.97741729,36.88034382,-0.930023193
5/26/21,6.776812136,18.59338176,45.40550366,0.83001709
5/27/21,9.792867124,15.22148058,51.02455527,0.220001221
5/28/21,9.896319211,16.22219187,50.5574708,0.75
6/1/21,3.477857202,8.142325342,24.57411209,-0.369995117
6/2/21,10.01226705,13.77070644,36.06429034,0.659973145
6/3/21,8.406022727,10.35405576,51.76382792,-1.559997559
6/4/21,5.716236472,18.7189301,51.10184091,3.83001709
6/7/21,2.276951432,9.052146941,23.56071794,-0.410003662
6/8/21,4.182386875,16.26249319,42.8745918,0.089996338
6/9/21,10.37282747,19.1644426,43.56482393,-0.630004883
6/10/21,10.1377278,20.7004531,48.01541296,1.959991455
6/11/21,9.22497341,24.76888564,58.0932987,0.700012207
6/14/21,3.01220113,12.02886167,24.12525231,0.950012207
6/15/21,8.92929092,13.35768768,39.77096727,-0.779998779
6/16/21,5.928531885,16.02181,41.04925129,-2.370025635
6/17/21,7.340073049,22.733201,43.65921238,-0.139984131
6/18/21,10.18570793,15.94312564,57.50027448,-7.049987793
6/21/21,2.181448877,6.558961332,23.18421274,5.939971924
6/22/21,5.87216273,21.79608065,30.74159503,2.25
6/23/21,5.143869162,13.76030293,37.43083876,-0.509979248
6/24/21,4.61952126,13.05246097,47.447487,2.5
6/25/21,7.157439828,10.68681672,50.73701769,1.509979248
6/28/21,2.952086151,9.092425078,24.87603688,0.860015869
6/29/21,7.333695233,12.26056442,36.03524691,0.230010986
6/30/21,10.39643934,15.33946678,33.68822715,0.359985352
7/1/21,5.850544542,21.92544511,47.41250595,2.369995117
7/2/21,14.69166911,17.10380453,63.33178607,3.290008545
